要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),289.5 (2019/6/11),260.5 (2011/9/18),232.5 (2014/10/4),230.0 (2025/7/27),197 (2008/2/6),184 (2004/9/5),171.0 (2025/7/28),170.5 (2015/5/25),169.5 (2012/8/26),162.0 (2009/10/6),2003/1 2026/5
日最大10分間降水量 (mm),26.5 (2018/12/5),26.5 (2017/11/18),23.0 (2012/6/10),22.5 (2021/8/6),22.0 (2025/7/27),21.5 (2025/5/1),21.0 (2025/5/22),20.5 (2020/9/4),19.5 (2024/9/30),18.0 (2020/5/18),2009/1 2026/5
日最大1時間降水量 (mm),96.5 (2021/8/6),80.0 (2018/12/5),78.5 (2020/6/10),74.0 (2017/11/18),68.5 (2010/5/29),60.0 (2011/9/18),57.0 (2024/9/30),54.5 (2014/10/4),52.0 (2019/6/11),52.0 (2019/5/29),2003/1 2026/5
月降水量の多い方から (mm),784.0 (2025/7),550.5 (2011/9),533.5 (2020/5),505.0 (2012/6),477.5 (2019/6),461.5 (2025/5),460.5 (2022/5),444.0 (2021/6),426.0 (2013/10),406.0 (2010/10),2003/1 2026/4
月降水量の少ない方から (mm),5.5 (2023/3),9.0 (2010/3),9.0 (2008/12),9.5 (2024/10),9.5 (2015/8),11.5 (2011/3),13.0 (2015/2),14.0 (2018/4),14.0 (2009/1),15 (2003/2),2003/1 2026/4
年降水量の多い方から (mm),2256.5 (2025),2112.5 (2012),1977.0 (2020),1918.0 (2011),1908.5 (2022),1787.5 (2021),1725 (2004),1710.5 (2010),1663.5 (2014),1607.5 (2016),2003年 2025年
年降水量の少ない方から (mm),817.0 (2023),1113 (2006),1199.5 (2018),1204.0 (2015),1246 (2005),1316 (2007),1316 (2003),1390.0 (2009),1398.0 (2008),1490.5 (2013),2003年 2025年
日最高気温の高い方から (℃),34.3 (2024/8/13),34.3 (2024/8/12),34.1 (2024/7/12),34.1 (2024/7/10),34.1 (2017/8/11),34.0 (2024/7/13),34.0 (2022/8/23),33.9 (2024/7/20),33.9 (2017/8/15),33.9 (2017/8/14),2003/1 2026/5
日最高気温の低い方から (℃),13.9 (2005/3/6),14.3 (2018/1/12),14.4 (2005/12/22),14.5 (2018/2/5),15.0 (2005/3/5),15.1 (2003/1/29),15.4 (2023/1/25),15.4 (2018/2/4),15.4 (2005/3/13),15.5 (2015/2/9),2003/1 2026/5
日最低気温の高い方から (℃),29.6 (2017/8/5),29.5 (2017/8/10),29.4 (2017/8/11),29.2 (2024/7/20),29.1 (2024/7/15),29.1 (2017/8/8),29.0 (2017/8/9),29.0 (2009/8/3),28.9 (2014/7/7),28.9 (2005/8/30),2003/1 2026/5
日最低気温の低い方から (℃),9.1 (2016/1/25),9.5 (2016/1/24),9.6 (2011/2/2),10.1 (2016/2/18),10.3 (2015/2/15),10.4 (2005/3/5),10.4 (2003/1/31),10.5 (2026/2/9),10.7 (2005/3/6),10.9 (2013/1/16),2003/1 2026/5
月平均気温の高い方から (℃),30.3 (2017/8),30.0 (2024/7),29.5 (2024/8),29.5 (2017/7),29.5 (2016/8),29.5 (2016/7),29.4 (2022/8),29.4 (2013/8),29.4 (2006/7),29.3 (2003/7),2003/1 2026/4
月平均気温の低い方から (℃),16.7 (2011/1),17.0 (2025/2),17.0 (2003/1),17.3 (2008/2),17.4 (2015/2),17.7 (2022/2),17.8 (2018/2),17.8 (2014/1),17.9 (2026/1),17.9 (2015/1),2003/1 2026/4
年平均気温の高い方から (℃),24.6 (2024),24.6 (2016),24.1 (2020),24.1 (2019),24.0 (2022),24.0 (2006),23.9 (2023),23.9 (2017),23.9 (2015),23.8 (2025),2003年 2025年
年平均気温の低い方から (℃),23.3 (2012),23.3 (2011),23.5 (2014),23.5 (2005),23.6 (2013),23.7 (2018),23.7 (2009),23.7 (2008),23.7 (2007),23.7 (2004),2003年 2025年
日最小相対湿度 (％),///,///,///,///,///,///,///,///,///,///,///
日最大風速・風向 (m/s),32.8 東南東 (2009/10/6),31.6 北 (2014/8/7),31.6 南 (2009/10/7),31 ] 北 (2005/9/4),26.6 南西 (2022/8/31),26 東 (2004/9/5),26 東 (2004/9/4),25.7 北 (2014/10/4),25.7 東南東 (2012/8/26),25.2 東南東 (2011/9/18),2003/1 2026/5
日最大瞬間風速・風向 (m/s),51.4 東南東 (2009/10/6),50.9 南南東 (2009/10/7),47.3 北 (2014/8/7),40.6 西北西 (2014/10/4),39.6 東南東 (2012/8/26),39.6 南 (2010/10/29),39.1 南南東 (2015/7/25),38.1 東南東 (2011/9/18),37.0 西南西 (2022/8/31),36.0 東南東 (2011/8/4),2009/1 2026/5
