要素,平年降水量(mm),平年平均気温(℃),平年最高気温(℃),平年最低気温(℃),平年日照時間(h),平年全天日射量(MJ/㎡),平年平均雲量,平年降雪の深さ合計(cm),平年最深積雪(cm)
統計期間,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2020,1991～ 2016,1991～ 2020,1991～ 2020
資料年数,30,30,30,30,30,30,26,30,30
1日,4.7,27.1,30.2,24.2,6.7,17.5,6.1 @,---,---
2日,4.8,27.0,30.1,24.1,6.7,17.3,6.1 @,---,---
3日,4.8,26.9,30.0,24.0,6.6,17.2,6.2 @,---,---
4日,4.9,26.9,30.0,24.0,6.5,17.0,6.2 @,---,---
5日,5.1,26.8,29.9,23.9,6.4,16.7,6.3 @,---,---
6日,5.2,26.7,29.8,23.9,6.3,16.5,6.3 @,---,---
7日,5.2,26.6,29.7,23.8,6.2,16.3,6.4 @,---,---
8日,5.3,26.6,29.6,23.7,6.1,16.1,6.4 @,---,---
9日,5.3,26.5,29.5,23.7,6.0,15.9,6.5 @,---,---
10日,5.3,26.4,29.4,23.6,5.9,15.7,6.5 @,---,---
11日,5.4,26.3,29.3,23.6,5.8,15.5,6.5 @,---,---
12日,5.4,26.2,29.2,23.5,5.7,15.3,6.6 @,---,---
13日,5.5,26.2,29.1,23.4,5.6,15.1,6.6 @,---,---
14日,5.7,26.1,29.0,23.4,5.6,15.0,6.6 @,---,---
15日,5.8,26.0,28.9,23.3,5.5,14.9,6.6 @,---,---
16日,6.0,25.9,28.8,23.2,5.5,14.8,6.6 @,---,---
17日,6.3,25.8,28.7,23.2,5.5,14.7,6.6 @,---,---
18日,6.5,25.7,28.6,23.1,5.5,14.6,6.6 @,---,---
19日,6.8,25.6,28.5,23.0,5.4,14.5,6.5 @,---,---
20日,6.9,25.5,28.4,22.9,5.5,14.4,6.5 @,---,---
21日,7.0,25.4,28.3,22.8,5.5,14.4,6.5 @,---,---
22日,7.1,25.3,28.2,22.6,5.5,14.3,6.5 @,---,---
23日,7.0,25.2,28.1,22.5,5.5,14.3,6.4 @,---,---
24日,6.8,25.1,28.0,22.4,5.5,14.2,6.4 @,---,---
25日,6.5,25.0,27.9,22.3,5.5,14.1,6.4 @,---,---
26日,6.2,24.9,27.8,22.2,5.5,14.0,6.4 @,---,---
27日,5.8,24.8,27.7,22.1,5.4,13.9,6.4 @,---,---
28日,5.4,24.8,27.6,22.0,5.4,13.8,6.4 @,---,---
29日,4.9,24.7,27.5,21.9,5.4,13.7,6.4 @,---,---
30日,4.5,24.6,27.4,21.9,5.3,13.5,6.4 @,---,---
31日,4.1,24.5,27.3,21.8,5.2,13.4,6.4 @,---,---
