要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),195.5 (1992/11/30),163.7 (1965/11/25),150.0 (1976/11/6),145.9 (1948/11/18),125.5 (1992/11/29),123.5 (2011/11/28),123.5 (1954/11/10),119.5 (2017/11/18),114.0 (1976/11/5),96.5 (1990/11/3),1942/11 2025/11
日最大10分間降水量 (mm),29.5 (1990/11/3),27.0 (1992/11/30),23.0 (2017/11/18),20.5 (1998/11/4),20.5 (1978/11/13),19.8 (1959/11/2),18.7 (1965/11/25),18.0 (2000/11/13),17.0 (2012/11/23),16.5 (1963/11/19),1942/11 2025/11
日最大1時間降水量 (mm),95.5 (1992/11/30),62.8 (1965/11/25),61.0 (2017/11/18),58.5 (1976/11/5),56.0 (1990/11/3),50.6 (1956/11/5),50.5 (2000/11/13),44.5 (1976/11/6),42.5 (1998/11/4),42.2 (1954/11/9),1942/11 2025/11
月最大24時間降水量 (mm),272.0 (1992/11/29),252.5 (1976/11/6),172.3 (1948/11/18),161.4 (1965/11/25),143.6 (1958/11/1),137.5 (2011/11/28),123.4 (1954/11/10),122.5 (2017/11/18),113.0 (1993/11/26),109.0 (2000/11/14),1946/11 2025/11
月降水量の多い方から (mm),399.0 (1969/11),381.5 (1976/11),375.5 (1992/11),290.5 (1990/11),270.3 (1956/11),261.0 (1986/11),259.0 (1965/11),256.5 (1952/11),253.8 (1958/11),232.2 (1948/11),1942/11 2025/11
月降水量の少ない方から (mm),16.0 (1973/11),20.5 (2001/11),24.0 (1968/11),27.5 (1999/11),33.5 (2023/11),35.0 (1985/11),36.5 (1961/11),38.0 (1988/11),39.0 (2014/11),44.5 (1977/11),1942/11 2025/11
日最高気温の高い方から (℃),31.8 (2024/11/2),31.5 (2024/11/1),30.8 (2008/11/8),30.8 (2008/11/7),30.6 (1987/11/2),30.5 (2024/11/3),30.4 (2024/11/4),30.4 (2008/11/3),30.4 (2000/11/1),30.3 (2008/11/9),1942/11 2025/11
日最高気温の低い方から (℃),18.1 (1971/11/30),18.5 (2013/11/28),18.8 (1948/11/29),18.9 (1983/11/26),19.1 (1976/11/28),19.1 (1958/11/24),19.2 (1983/11/27),19.3 (2013/11/29),19.3 (1985/11/25),19.4 (1956/11/26),1942/11 2025/11
日最低気温の高い方から (℃),27.1 (2024/11/1),26.9 (2024/11/2),26.0 (2024/11/16),25.6 (2000/11/1),25.6 (1996/11/11),25.5 (2024/11/15),25.5 (2011/11/4),25.4 (2011/11/10),25.4 (2008/11/6),25.4 (2000/11/9),1942/11 2025/11
日最低気温の低い方から (℃),9.8 (1942/11/30),10.5 (1992/11/23),10.5 (1985/11/16),10.5 (1946/11/21),10.6 (2013/11/30),10.6 (2008/11/21),10.6 (1995/11/26),10.9 (2001/11/29),10.9 (1985/11/20),11.4 (1985/11/12),1942/11 2025/11
