日,日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日最多風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm)
1,0.0,0.0,0.0,20.5,24.9,14.5,///,///,1.3,3.0,北東,4.6,東北東,東,///,///,///
2,0.0,0.0,0.0,22.9,25.5,20.0,///,///,4.7,6.7,北東,10.3,北東,北東,///,///,///
3,0.0,0.0,0.0,22.7,25.1,21.6,///,///,5.5,6.5,北北東,9.8,北東,北東,///,///,///
4,0.0,0.0,0.0,22.0,25.2,19.9,///,///,7.0,9.8,北,12.9,北北東,北北東,///,///,///
5,0.0,0.0,0.0,21.2,24.0,19.4,///,///,4.9,6.9,北北東,9.8,北,北,///,///,///
6,0.0,0.0,0.0,21.9,24.4,20.1,///,///,3.7,5.8,北北東,7.7,北北東,北東,///,///,///
7,6.0,4.0,1.5,22.2,23.9,19.8,///,///,2.9,5.4,北東,9.3,東北東,東北東,///,///,///
8,10.0,4.5,1.0,19.7,21.3,18.4,///,///,8.1,14.4,北北東,18.5,北北東,北,///,///,///
9,0.0,0.0,0.0,18.2,21.0,15.3,///,///,5.6,9.5,北,12.9,北北東,北,///,///,///
10,0.0,0.0,0.0,19.4,22.2,16.3,///,///,4.7,7.1,北北東,10.3,北北東,北,///,///,///
11,0.0,0.0,0.0,19.3,23.1,14.3,///,///,1.3,3.0,南南西,4.6,南東,南南西,///,///,///
12,12.0,5.0,1.5,20.1,22.1,18.2,///,///,4.6,8.2,北北東,11.8,北北東,北東,///,///,///
13,1.5,1.5,0.5,21.0,23.7,19.7,///,///,2.2,6.2,北東,8.7,北東,北,///,///,///
14,0.5,0.5,0.5,19.3,20.6,17.1,///,///,6.6,9.6,北北東,12.9,北北西,北,///,///,///
15,0.0,0.0,0.0,18.4,21.3,16.6,///,///,4.9,7.9,北,11.3,北,北,///,///,///
16,0.0,0.0,0.0,19.1,21.6,17.3,///,///,3.8,5.8,北,9.3,西北西,北北西,///,///,///
17,0.0,0.0,0.0,20.0,22.8,18.3,///,///,3.4,5.1,北北東,7.7,北東,北北東,///,///,///
18,0.0,0.0,0.0,19.3,22.8,14.4,///,///,3.5,8.9,北北西,13.9,北北西,北北西,///,///,///
19,0.0,0.0,0.0,17.7,20.5,15.8,///,///,8.2,10.9,北北東,14.9,北北東,北北西,///,///,///
20,0.0,0.0,0.0,18.6,20.8,16.8,///,///,4.0,7.6,北東,11.3,東北東,東北東,///,///,///
21,0.5,0.5,0.5,19.0,21.8,15.0,///,///,2.4,8.0,北北西,12.3,北北西,北北西,///,///,///
22,0.0,0.0,0.0,18.3,21.0,16.9,///,///,6.4,8.6,北北西,13.4,北,北北西,///,///,///
23,0.0,0.0,0.0,18.3,20.8,16.4,///,///,4.6,8.0,北,10.8,北北東,北北東,///,///,///
24,0.0,0.0,0.0,18.6,20.1,18.0,///,///,6.0,8.0,北北東,10.8,北東,北北東,///,///,///
25,0.0,0.0,0.0,19.7,21.8,18.0,///,///,4.2,6.8,北東,10.8,北北東,北東,///,///,///
26,2.5,1.5,1.5,21.6,25.7,18.9,///,///,4.6,9.2,北,12.3,北,北,///,///,///
27,0.0,0.0,0.0,19.6,22.2,18.5,///,///,5.7,8.3,北,11.3,北,北,///,///,///
28,1.5,1.0,0.5,17.5,18.8,15.6,///,///,5.5,8.0,北北西,12.3,北北西,北北西,///,///,///
29,0.0,0.0,0.0,17.5,20.3,15.7,///,///,5.0,7.3,北,10.8,北,北北西,///,///,///
30,0.0,0.0,0.0,19.3,21.6,17.0,///,///,2.2,4.3,北東,7.2,西,北東,///,///,///
31,2.0,1.0,0.5,19.2,21.5,17.3,///,///,4.7,7.3,北,10.8,北,北,///,///,///
