月,月合計降水量(mm),月間最大日降水量(mm),月間最大1時間降水量(mm),月間最大10分間降水量(mm),月間平均日平均気温(℃),月間平均日最高気温(℃),月間平均日最低気温(℃),月間最高日気温(℃),月間最低日気温(℃),月間平均湿度(％),月間最小湿度(％),月間平均風速(m/s),月間最大風速(m/s),月間最大風向(16方位),月間最大瞬間風速(m/s),月間最大瞬間風向(16方位),日照時間(h),月合計降雪深(cm),月最大日降雪深(cm),月最深積雪(cm)
1,70.0,35.0,19.5,6.5,18.7,21.3,16.3,24.0,12.4,///,///,4.2,10.3,北,14.9,北北西,///,///,///,///
2,26.5,17.5,9.0,6.5,20.4,23.4,18.3,26.8,15.9,///,///,3.9,9.2,西北西,14.4,北西,///,///,///,///
3,68.0,23.0,20.5,13.0,20.1,23.0,17.9,27.2,12.1,///,///,4.9,11.2,南南西,21.1,南南西,///,///,///,///
4,269.0,73.0,25.0,12.5,23.5,26.1,21.8,29.6,19.0,///,///,4.0,10.4,南南西,14.9,西,///,///,///,///
5,144.0,38.5,14.5,5.0,24.8,27.5,23.1,31.3,20.6,///,///,3.6,13.4,北北東,21.6,北北東,///,///,///,///
6,169.0,44.0,25.5,10.0,27.1,29.9,25.0,32.5,20.3,///,///,4.5,11.0,南西,17.5,南西,///,///,///,///
7,84.5,30.5,12.0,9.0,30.0,32.7,27.7,34.1,25.5,///,///,3.3,10.5,南,16.5,南,///,///,///,///
8,242.5,72.0,25.5,16.0,29.5,32.5,27.0,34.3,24.7,///,///,3.4,13.0,南南西,18.5,西南西,///,///,///,///
9,245.5,82.0,57.0,19.5,28.6,31.1,26.3,32.7,22.1,///,///,4.3,17.3,南東,23.7,南南東,///,///,///,///
10,9.5,3.5,3.5,2.5,27.9,30.6,26.1,31.3,22.9,///,///,3.6,8.4,北東,11.8,北東,///,///,///,///
11,154.5,33.5,28.0,16.5,24.8,27.2,23.1,31.5,17.6,///,///,4.4,10.4,北,14.4,西北西,///,///,///,///
12,36.5,12.0,5.0,1.5,19.7,22.3,17.5,25.7,14.3,///,///,4.6,14.4,北北東,18.5,北北東,///,///,///,///
