月,旬,旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高日気温(℃),旬間最低日気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬合計降雪深(cm),旬最大日降雪深(cm),旬最深積雪(cm)
1,上旬,28.0,22.0,10.5,5.5,18.8,20.9,16.9,22.8,14.3,///,///,7.3,16.3,南東,19.5,南東,///,///,///,///
1,中旬,20.5,6.0,4.0,2.0,17.5,20.0,15.3,22.3,11.3,///,///,5.9,11.4,南東,14.4,南,///,///,///,///
1,下旬,46.5,31.5,11.0,6.5,18.5,20.7,16.7,23.2,14.6,///,///,7.6,13.8,東,17.0,北,///,///,///,///
2,上旬,28.0,25.0,7.0,2.5,16.5,18.5,14.8,22.7,12.8,///,///,7.1,13.2,北西,19.0,北西,///,///,///,///
2,中旬,9.0,5.5,3.0,2.0,18.3,20.9,16.5,23.9,15.0,///,///,6.2,10.9,北,15.9,北,///,///,///,///
2,下旬,3.5,2.5,1.5,1.0,16.7,19.4,14.1,23.9,10.2,///,///,5.3,10.8,北,15.4,北,///,///,///,///
3,上旬,3.0,2.0,2.0,1.0,20.5,23.2,18.9,25.7,16.0,///,///,6.2,12.5,北,15.9,北,///,///,///,///
3,中旬,2.0,1.0,1.0,0.5,19.5,22.6,17.4,26.1,14.7,///,///,5.1,11.5,北西,15.9,北西,///,///,///,///
3,下旬,65.0,52.5,25.5,6.5,19.2,22.3,15.9,25.7,9.7,///,///,4.9,13.1,北北東,16.5,北北東,///,///,///,///
4,上旬,155.0,89.5,30.0,9.5,19.7,22.3,17.6,23.2,15.6,///,///,5.6,17.9,北,23.1,北北東,///,///,///,///
4,中旬,43.0,28.5,19.0,14.0,20.3,23.2,17.6,25.6,14.7,///,///,5.1,13.2,東,16.5,北西,///,///,///,///
4,下旬,6.5,6.0,6.0,6.0,22.5,25.0,20.4,28.4,18.3,///,///,4.9,10.3,東南東,12.3,南西,///,///,///,///
5,上旬,86.5,34.0,20.0,16.0,23.3,25.7,21.0,27.5,15.1,///,///,5.2,15.4,南南東,22.1,南南東,///,///,///,///
5,中旬,124.0,64.0,21.0,7.0,24.7,27.3,22.7,30.3,19.6,///,///,5.0,12.4,北,15.9,北,///,///,///,///
