日,日平均現地気圧(hPa),日平均海面気圧(hPa),日降水量(mm),日最大1時間降水量(mm),日最大10分間降水量(mm),日平均気温(℃),日最高気温(℃),日最低気温(℃),日平均湿度(％),日最小湿度(％),日平均風速(m/s),日最大風速(m/s),日最大風向(16方位),日最大瞬間風速(m/s),日最大瞬間風向(16方位),日照時間(h),日降雪の深さ合計(cm),日最深積雪(cm),昼の天気概況,夜の天気概況
1,1008.1,1010.4,0.0,0.0,0.0,28.9,31.5,24.7,81,69,3.0,4.9,東北東,7.7,東北東,6.8,--,--,曇時々晴一時雨,曇後晴一時雨
2,1006.2,1008.5,1.0,1.0,1.0,28.8,32.1,25.2,82,64,2.7,5.2,東,8.2,北東,8.2,--,--,晴一時曇後時々雨,曇時々晴一時雨
3,1003.5,1005.8,3.5,2.0,1.0,26.9,28.8,25.3,93,76,1.6,4.1,南西,6.8,南西,0.0,--,--,雨時々曇,曇時々雨
4,1006.2,1008.5,1.0,0.5,0.5,29.2,32.4,26.5,85,71,5.2,7.9,西南西,12.0,西南西,7.8,--,--,曇時々晴一時雨,晴一時雨後曇
5,1009.7,1012.0,2.0,2.0,2.0,29.4,32.3,27.4,82,71,4.4,6.3,南南東,11.1,南南東,10.2,--,--,晴後曇一時雨,晴後曇一時雨
6,1010.4,1012.7,0.0,0.0,0.0,29.4,32.6,27.5,79,67,4.1,7.0,南南東,10.1,南,10.3,--,--,晴一時雨,晴時々雨一時曇
7,1010.2,1012.5,0.0,0.0,0.0,29.5,32.7,27.0,80,68,4.5,6.9,南,10.2,南,10.5,--,--,晴後一時雨,晴時々雨
8,1011.1,1013.4,--,--,--,29.3,33.1,27.4,81,68,3.4,5.6,南南西,8.6,南南西,11.8,--,--,晴,晴
9,1011.1,1013.4,--,--,--,28.7,32.4,25.0,81,66,2.2,4.2,南南西,6.5,南南西,12.1,--,--,晴,晴
10,1009.9,1012.3,2.0,2.0,2.0,27.9,32.3,23.6,83,60,1.3,3.8,東南東,6.7,東南東,8.3,--,--,晴,晴一時雨
11,1009.6,1012.0,2.0,2.0,2.0,28.3,32.4,24.1,82,63,2.1,4.4,東南東,7.1,東南東,8.4,--,--,晴後曇一時雨,曇時々晴一時雨
12,1011.4,1013.7,2.0,2.0,2.0,28.0,31.9,25.1,83,65,3.2,6.7,南,12.8,南,8.1,--,--,雨時々晴後曇,晴時々曇一時雨
13,1012.4,1014.7,0.5,0.5,0.5,29.1,32.9,25.8,80,65,2.9,6.0,南南東,9.2,南南東,10.9,--,--,晴後一時雨,晴時々雨
14,1012.8,1015.1,0.0,0.0,0.0,29.3,32.8,25.8,80,64,2.7,4.8,南南東,7.6,南東,11.5,--,--,晴,晴
15,1014.0,1016.3,0.0,0.0,0.0,29.0,32.4,24.8,79,63,2.9,5.4,東,8.5,東,10.0,--,--,晴,晴一時雨
16,1012.8,1015.2,1.0,0.5,0.5,28.7,33.0,24.1,81,63,2.8,5.6,東南東,8.4,東南東,9.3,--,--,晴後時々雨,曇時々雨一時晴
17,1011.9,1014.2,1.0,1.0,1.0,28.5,32.4,25.3,82,66,2.5,4.4,東,7.6,東北東,2.5,--,--,曇,曇後一時雨
18,1011.7,1014.0,0.5,0.5,0.5,28.6,31.7,25.7,83,68,2.3,4.7,東,8.1,東南東,5.5,--,--,曇後時々晴,晴後一時雨
19,1011.7,1014.0,0.0,0.0,0.0,28.7,32.8,23.5,81,63,2.9,5.3,東,8.3,東南東,10.0,--,--,晴,晴時々雨
20,1009.9,1012.2,34.0,24.5,9.5,28.6,32.8,25.0,82,62,2.8,4.8,北東,8.2,東北東,7.7,--,--,晴後雨時々曇、雷を伴う,曇後大雨時々晴、雷を伴う
21,1008.9,1011.2,2.5,2.5,2.0,29.1,32.1,26.6,81,69,3.9,6.3,東南東,10.5,南東,9.8,--,--,晴後一時雨,晴
22,1010.8,1013.1,--,--,--,29.6,32.6,27.7,78,67,3.9,6.1,東,9.3,東南東,9.8,--,--,晴一時曇,晴後一時雨
23,1011.5,1013.8,1.5,1.5,1.5,29.5,32.4,27.0,77,64,3.6,6.0,東,8.8,東,8.8,--,--,晴時々雨,晴時々雨
24,1011.4,1013.7,1.5,2.0,0.5,29.1,32.6,25.7,81,63,3.7,7.1,東,12.5,東,10.1,--,--,晴時々雨一時曇,曇時々晴一時雨
25,1012.8,1015.1,0.5,0.5,0.5,29.6,32.5,26.5,73,64,4.6,6.6,東,10.4,東,10.2,--,--,晴,晴時々雨一時曇
26,1013.3,1015.6,0.5,0.5,0.5,29.1,32.2,27.2,77,64,3.9,7.9,東,11.6,東,8.6,--,--,晴時々雨一時曇,晴時々曇一時雨
27,1013.3,1015.6,0.0,0.0,0.0,28.5,31.6,24.1,72,58,2.5,5.0,東,7.8,東,10.3,--,--,晴,晴
28,1012.7,1015.0,0.0,0.0,0.0,27.1,31.9,22.5,79,52,1.3,3.9,東,6.5,東北東,9.0,--,--,晴後一時雨,晴一時雨
29,1011.6,1013.9,--,--,--,27.2,31.8,22.9,81,57,1.5,3.6,西北西,5.9,北西,10.1,--,--,晴,晴
30,1010.6,1012.9,--,--,--,27.9,32.6,22.9,81,63,1.9,4.6,北西,7.3,北西,11.4,--,--,晴,晴後時々曇
