月,旬,旬平均現地気圧(hPa),旬平均海面気圧(hPa),旬合計降水量(mm),旬間最大日降水量(mm),旬間最大1時間降水量(mm),旬間最大10分間降水量(mm),旬間平均日平均気温(℃),旬間平均日最高気温(℃),旬間平均日最低気温(℃),旬間最高気温(℃),旬間最低気温(℃),旬間平均湿度(％),旬間最小湿度(％),旬間平均風速(m/s),旬間最大風速(m/s),旬間最大風向(16方位),旬間最大瞬間風速(m/s),旬間最大瞬間風向(16方位),旬間日照時間(h),旬間全天日射量(MJ/㎡),旬間降雪の深さ合計(cm),旬間最大日降雪の深さ(cm),旬最深積雪(cm),旬平均雲量,旬雪日数,旬霧日数,旬雷日数
1,上旬,1016.1,1018.6,37.5,30.5,9.5,4.5,17.3,20.6,13.0,22.3,9.7,67.0,43.0,4.3,10.1,北西,18.0,北北西,40.2,10.0,,,,,0 ),0 ),0
1,中旬,1014.6,1017.0,46.5,31.0,28.5,15.5,18.7,22.0,14.5,23.7,10.2,68.0,40.0,3.8,8.2,北北西,15.3,北北西,55.3,12.3,,,,,0 ),0 ),0
1,下旬,1018.9,1021.4,13.0,6.5,6.0,3.5,16.5,20.6,11.8,22.9,8.3,67.0,43.0,3.9,9.8,北,17.5,北,49.4,11.8,,,,,0,0,0
2,上旬,1018.9,1021.4,8.5,6.5,6.5,5.5,16.4,20.2,11.6,23.4,7.1,68.0,40.0,4.0,12.2,北西,20.9,北西,46.8,12.4,,,,,0 ),0 ),0 )
2,中旬,1017.1,1019.5,22.0,18.0,17.0,9.5,17.9,22.4,13.2,24.7,9.6,71.0,40.0,2.7,8.0,北,14.8,北北西,69.6,16.0,,,,,0 ),0 ),0 )
2,下旬,1012.9,1015.3,0.5,0.5,0.5,0.5,20.8,24.0,17.7,25.5,9.8,75.0,48.0,3.6,8.6,北北西,15.1,北北西,47.0,16.0,,,,,0,0,0
3,上旬,1015.0,1017.4,5.5,3.0,2.0,2.0,19.7,23.1,17.0,24.8,12.7,68.0,40.0,4.7,8.7,北西,14.6,北,45.4,15.7,,,,,0 ],0 ],0
3,中旬,1015.8,1018.3,17.0,14.0,9.5,4.0,18.5,22.3,14.2,24.9,11.8,65.0,40.0,4.0,12.2,北北西,21.2,北北西,70.1,18.8,,,,,0 ),0 ),0
3,下旬,1012.5,1014.9,0.0,0.0,0.0,0.0,21.5,25.0,18.9,26.3,14.6,78.0,37.0,3.9,10.0,南南東,13.6,南,81.6,20.6,,,,,0 ),0 ),0
4,上旬,1011.5,1013.9,8.0,4.0,3.5,1.5,22.5,25.6,20.3,27.3,14.8,83.0,50.0,4.8,9.5,南南東,14.6,南南東,58.6,18.5,,,,,0,1,0
4,中旬,1010.0,1012.4,2.0,2.0,2.0,1.0,23.7,27.0,21.1,27.7,18.5,83.0,56.0,3.3,7.8,東,12.4,東,70.6,20.7,,,,,0,2,0 ]
4,下旬,1011.1,1013.5,46.5,45.0,23.0,11.0,22.7,26.4,18.8,28.6,13.7,82.0,41.0,3.0,12.4,北西,21.7,北西,71.4,18.9,,,,,0 ),1 ),1
5,上旬,1012.3,1014.7,126.5,72.5,27.0,10.5,23.0,26.4,19.8,29.2,15.1,84.0,46.0,4.0,10.1,北北東,17.6,北北東,53.9,16.7,,,,,0,1,2
5,中旬,1009.4,1011.8,149.0,84.0,28.0,12.0,23.7,26.2,21.3,28.1,18.1,82.0,59.0,4.9,10.0,東北東,17.3,北東,36.5,15.1,,,,,0,0,2
5,下旬,1008.0,1010.4,44.0,29.0,9.5,7.0,26.4,28.9,24.7,30.3,23.1,90.0,69.0,3.6,10.5,東,17.1,東南東,42.1,16.2,,,,,0,0,1
6,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,中旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,下旬,,,,,,,,,,,,,,,,,,,,,,,,,,,
