月,月平均現地気圧(hPa),月平均海面気圧(hPa),月合計降水量(mm),月間最大日降水量(mm),月間最大1時間降水量(mm),月間最大10分間降水量(mm),月間平均日平均気温(℃),月間平均日最高気温(℃),月間平均日最低気温(℃),月間最高気温(℃),月間最低気温(℃),月間平均湿度(％),月間最小湿度(％),月間平均風速(m/s),月間最大風速(m/s),月間最大風向(16方位),月間最大瞬間風速(m/s),月間最大瞬間風向(16方位),月間日照時間(h),月間全天日射量(MJ/㎡),月間降雪の深さ合計(cm),月間最大日降雪の深さ(cm),月最深積雪(cm),月平均雲量,月雪日数,月霧日数,月雷日数
1,1016.6,1019.0,97.0,31.0,28.5,15.5,17.5,21.1,13.0,23.7,8.3,67.0,40.0,4.0,10.1,北西,18.0,北北西,144.9,11.4,,,,,0 ),0 ),0
2,1016.5,1019.0,31.0,18.0,17.0,9.5,18.2,22.1,13.9,25.5,7.1,71.0,40.0,3.4,12.2,北西,20.9,北西,163.4,14.7,,,,,0 ),0 ),0 )
3,1014.4,1016.8,22.5,14.0,9.5,4.0,19.9,23.5,16.8,26.3,11.8,71.0,37.0,4.2,12.2,北北西,21.2,北北西,197.1,18.4,,,,,0 ),0 ),0
4,1010.8,1013.2,56.5,45.0,23.0,11.0,22.9,26.3,20.1,28.6,13.7,83.0,41.0,3.7,12.4,北西,21.7,北西,200.6,19.4,,,,,0 ),4 ),1 )
5,1009.8,1012.2,319.5,84.0,28.0,12.0,24.4,27.2,22.0,30.3,15.1,86.0,46.0,4.1,10.5,東,17.6,北北東,132.5,16.0,,,,,0,1,5
6,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,
