要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日降水量 (mm),175.5 (2015/5/25),160.5 (2020/5/22),139.0 (2020/5/23),132.0 (2010/5/29),105.5 (2012/5/2),104 (2004/5/23),97.5 (2022/5/17),97.0 (2012/5/17),93.5 (2022/5/24),93.0 (2022/5/27),2003/5 2026/5
日最大10分間降水量 (mm),21.5 (2016/5/19),16.5 (2022/5/27),16.0 (2025/5/1),15.5 (2014/5/28),15.0 (2015/5/12),14.0 (2013/5/26),14.0 (2012/5/17),13.0 (2021/5/30),12.5 (2026/5/19),12.0 (2019/5/29),2009/5 2026/5
日最大1時間降水量 (mm),50.0 (2016/5/19),46.0 (2022/5/27),42.0 (2012/5/17),39.5 (2019/5/29),39.0 (2026/5/6),37.0 (2026/5/19),37.0 (2012/5/2),37 (2003/5/25),33.5 (2021/5/30),33.5 (2014/5/28),2003/5 2026/5
月降水量の多い方から (mm),578.5 (2022/5),498.5 (2020/5),350.5 (2015/5),336.5 (2026/5),331.5 (2025/5),315.0 (2010/5),306.5 (2012/5),299 (2003/5),259.0 (2013/5),247.5 (2017/5),2003/5 2026/5
月降水量の少ない方から (mm),25.0 (2018/5),27 (2007/5),111.5 (2023/5),122.5 (2019/5),125.0 (2024/5),128.0 (2021/5),131 (2005/5),142.0 (2009/5),145 (2006/5),158.5 (2016/5),2003/5 2026/5
日最高気温の高い方から (℃),32.4 (2021/5/28),31.8 (2021/5/27),31.8 (2021/5/22),31.7 (2021/5/21),31.7 (2018/5/31),31.5 (2021/5/26),31.3 (2021/5/24),31.3 (2021/5/20),31.2 (2024/5/28),31.1 (2016/5/26),2003/5 2026/5
日最高気温の低い方から (℃),21.4 (2011/5/17),21.6 (2022/5/2),21.8 (2011/5/15),21.9 (2017/5/17),22.2 (2011/5/14),22.2 (2008/5/7),22.4 (2011/5/18),22.4 (2005/5/25),22.6 (2008/5/12),22.6 (2007/5/2),2003/5 2026/5
日最低気温の高い方から (℃),27.4 (2021/5/28),27.0 (2021/5/27),26.8 (2016/5/29),26.7 (2024/5/27),26.7 (2016/5/30),26.6 (2025/5/21),26.6 (2021/5/23),26.6 (2004/5/18),26.5 (2021/5/24),26.5 (2021/5/20),2003/5 2026/5
日最低気温の低い方から (℃),15.1 (2025/5/3),15.9 (2008/5/21),16.3 (2007/5/10),16.4 (2022/5/3),16.8 (2012/5/6),16.9 (2022/5/2),17.0 (2011/5/14),17.6 (2019/5/3),17.6 (2013/5/2),17.7 (2015/5/2),2003/5 2026/5
月平均気温の高い方から (℃),26.2 (2021/5),26.0 (2016/5),25.7 (2015/5),25.5 (2004/5),25.3 (2018/5),25.1 (2003/5),25.0 (2024/5),25.0 (2006/5),24.5 (2026/5),24.4 (2025/5),2003/5 2026/5
月平均気温の低い方から (℃),23.5 (2013/5),23.5 (2011/5),23.6 (2009/5),23.6 (2008/5),23.6 (2007/5),23.7 (2023/5),23.7 (2012/5),24.0 (2017/5),24.0 (2014/5),24.0 (2010/5),2003/5 2026/5
日最小相対湿度 (％),///,///,///,///,///,///,///,///,///,///,///
日最大風速・風向 (m/s),23 北東 (2004/5/20),20.1 東 (2024/5/29),19 南 (2003/5/30),18 東北東 (2008/5/16),16 北北東 (2008/5/12),15.5 南東 (2022/5/24),15.4 南南東 (2025/5/5),15.1 東北東 (2026/5/17),15 北東 (2008/5/11),14.9 東北東 (2026/5/11),2003/5 2026/5
日最大瞬間風速・風向 (m/s),24.7 北北東 (2024/5/29),22.6 南西 (2020/5/23),22.1 南南東 (2025/5/5),21.1 南南西 (2015/5/23),21.1 南 (2011/5/29),20.6 南 (2020/5/18),20.1 南西 (2020/5/24),19.0 東北東 (2026/5/11),19.0 東南東 (2022/5/24),19.0 西南西 (2015/5/25),2009/5 2026/5
