要素名／順位,1位,2位,3位,4位,5位,6位,7位,8位,9位,10位,統計期間
日最低海面気圧 (hPa),936.8 (2005/9/4),941.8 (2020/9/6),943.6 (2020/9/5),945.4 (1982/8/25),945.4 (1976/7/2),946.4 (1976/11/6),947.2 (1949/10/27),950.5 (1965/9/16),952.0 (1958/7/20),953.7 (2014/8/7),1942/2 2026/5
日降水量 (mm),388.2 (1957/6/14),315.0 (1996/9/20),312.5 (2025/7/27),308.0 (2019/6/11),249.0 (1994/5/27),243.5 (1997/8/16),222.0 (2014/10/4),212.5 (2008/2/6),212.0 (2011/9/18),205.0 (2000/8/6),1942/2 2026/5
日最大10分間降水量 (mm),30.0 (1979/10/26),29.5 (1990/11/3),27.0 (1992/11/30),26.5 (2021/8/6),25.0 (2000/3/11),24.5 (2018/12/5),24.5 (1966/8/15),24.0 (1996/6/1),23.4 (1948/8/21),23.0 (2017/11/18),1942/2 2026/5
日最大1時間降水量 (mm),112.5 (2021/8/6),108.6 (1957/6/14),95.5 (1992/11/30),86.0 (1996/6/1),84.0 (2018/12/5),84.0 (1979/10/26),81.6 (1966/5/22),80.0 (2000/5/20),77.5 (1989/6/14),74.0 (2020/6/10),1942/2 2026/5
月最大24時間降水量 (mm),421.4 (1957/6/14),382.5 (2025/7/27),334.5 (1996/9/20),308.0 (2019/6/11),307.0 (2004/9/5),281.0 (1997/8/16),279.5 (2021/8/5),272.0 (1992/11/29),252.5 (1976/11/6),249.5 (2000/8/6),1946/2 2026/5
月降水量の多い方から (mm),939.0 (2025/7),844.0 (1969/6),836.1 (1957/6),667.6 (1966/8),648.0 (1999/7),566.5 (2020/5),547.0 (1982/12),523.5 (1949/6),521.0 (2019/6),518.9 (1947/5),1942/2 2026/5
月降水量の少ない方から (mm),2.5 (2013/7),3.5 (1997/3),5.0 (2023/3),5.9 (1948/3),7.0 (2015/2),7.0 (2008/12),7.0 (2005/7),8.0 (2010/3),9.0 (1986/7),9.5 (2004/7),1942/2 2026/5
年降水量の多い方から (mm),2664.6 (1966),2433.0 (2025),2323.0 (1969),2296.0 (2000),2291.5 (2020),2259.0 (1947),2237.0 (1996),2125.0 (2012),2096.0 (1999),2085.5 (1970),1942年 2026年
年降水量の少ない方から (mm),830.0 (2023),1050.0 (2002),1143.0 (2006),1172.5 (1972),1175.0 (1986),1182.3 (1963),1225.0 (2018),1232.5 (1948),1233.0 (1964),1259.5 (1995),1942年 2026年
日最高気温の高い方から (℃),35.3 (1991/7/12),35.1 (1945/7/23),34.9 (1991/7/9),34.8 (1991/7/11),34.7 (2024/7/13),34.7 (2024/7/12),34.7 (2024/7/10),34.7 (2024/7/9),34.7 (1991/7/22),34.7 (1991/7/10),1942/2 2026/5
日最高気温の低い方から (℃),13.6 (1986/3/2),13.9 (1959/1/17),13.9 (1947/2/4),14.0 (1955/2/21),14.3 (2005/3/6),14.4 (1963/1/27),14.4 (1947/2/21),14.5 (1987/2/4),14.5 (1945/2/9),14.6 (2018/2/5),1942/2 2026/5
日最低気温の低い方から (℃),3.5 (1982/1/22),4.1 (1978/1/23),4.2 (1974/1/15),4.3 (1980/1/17),4.3 (1962/2/22),4.4 (1952/1/21),4.5 (1985/2/1),4.5 (1981/1/19),4.7 (1976/1/26),4.7 (1975/4/4),1942/2 2026/5
日最低気温の高い方から (℃),29.6 (2017/8/5),29.5 (2017/8/10),29.4 (2017/8/12),29.3 (2017/8/11),29.2 (2024/7/13),29.1 (2024/7/10),29.0 (2024/8/22),29.0 (2024/7/11),28.9 (2024/7/23),28.9 (2022/8/24),1942/2 2026/5
月平均気温の高い方から (℃),30.2 (2017/8),30.1 (2024/7),29.7 (1991/7),29.5 (2016/7),29.5 (1998/8),29.3 (2022/8),29.3 (2013/8),29.2 (2024/8),29.2 (2017/9),29.2 (2016/8),1942/2 2026/5
月平均気温の低い方から (℃),14.5 (1963/1),15.1 (1963/2),15.3 (1968/2),15.5 (1947/2),15.7 (1971/1),15.8 (1981/1),15.8 (1962/1),15.9 (1986/1),16.0 (1976/1),16.1 (2011/1),1942/2 2026/5
年平均気温の高い方から (℃),24.7 (1998),24.6 (2024),24.4 (2016),24.1 (2020),24.1 (2019),23.9 (2023),23.9 (2022),23.8 (2021),23.8 (2018),23.8 (2006),1942年 2026年
年平均気温の低い方から (℃),22.1 (1968),22.2 (1947),22.4 (1943),22.5 (1982),22.5 (1981),22.5 (1963),22.6 (1976),22.6 (1965),22.7 (1996),22.7 (1986),1942年 2026年
日平均気温0℃未満寒候年間日数 (日),0 ] (2026),0 (2025),0 (2024),0 (2023),0 (2022),0 (2021),0 (2020),0 (2019),0 (2018),0 (2017),1942寒候年 2026寒候年
日平均気温25℃以上年間日数 (日),198 (1998),191 (2016),186 (2024),181 (1956),175 (2015),173 (2025),172 (1983),170 (2022),169 (2011),169 (1987),1942年 2026年
日最高気温0℃未満寒候年間日数 (日),0 ] (2026),0 (2025),0 (2024),0 (2023),0 (2022),0 (2021),0 (2020),0 (2019),0 (2018),0 (2017),1942寒候年 2026寒候年
日最高気温25℃以上年間日数 (日),254 (1998),251 (2024),251 (2019),248 (2018),246 (2023),246 (2016),246 (2015),241 (2020),237 (2022),237 (1952),1942年 2026年
日最高気温30℃以上年間日数 (日),146 (2016),136 (2024),133 (1998),132 (2025),130 (2015),126 (2013),126 (2008),121 (2017),120 (2021),118 (1971),1942年 2026年
日最高気温35℃以上年間日数 (日),1 (1991),1 ] (1945),0 ] (2026),0 (2025),0 (2024),0 (2023),0 (2022),0 (2021),0 (2020),0 (2019),1942年 2026年
