地点名,block_no,要素,期間,月,旬,階級区分1,階級区分2,階級区分3,階級区分4,階級区分5,階級区分6
南大東島,47945,気温,1月上旬,1,上旬,15.9,16.3,17.9,19.0,20.3,20.6
南大東島,47945,気温,1月中旬,1,中旬,16.0,16.6,17.5,18.9,19.6,20.7
南大東島,47945,気温,1月下旬,1,下旬,15.9,16.4,17.4,18.0,19.1,20.4
南大東島,47945,気温,2月上旬,2,上旬,15.2,16.0,16.9,17.9,19.2,19.9
南大東島,47945,気温,2月中旬,2,中旬,15.8,16.6,17.7,18.5,20.0,21.3
南大東島,47945,気温,2月下旬,2,下旬,15.3,16.7,18.0,19.5,20.6,21.5
南大東島,47945,気温,3月上旬,3,上旬,16.3,16.5,18.1,19.2,21.1,22.0
南大東島,47945,気温,3月中旬,3,中旬,17.7,17.8,18.9,19.6,21.4,21.8
南大東島,47945,気温,3月下旬,3,下旬,17.7,18.3,19.5,20.6,22.1,23.1
南大東島,47945,気温,4月上旬,4,上旬,19.0,19.3,20.1,21.0,22.4,23.3
南大東島,47945,気温,4月中旬,4,中旬,19.4,20.1,21.0,22.1,23.0,23.4
南大東島,47945,気温,4月下旬,4,下旬,19.8,20.3,21.9,23.2,24.3,24.9
南大東島,47945,気温,5月上旬,5,上旬,21.2,21.8,22.5,24.0,24.9,26.9
南大東島,47945,気温,5月中旬,5,中旬,21.1,22.0,23.5,24.6,26.5,27.1
南大東島,47945,気温,5月下旬,5,下旬,22.4,23.2,24.3,25.2,26.0,26.9
南大東島,47945,気温,6月上旬,6,上旬,23.9,24.3,25.2,26.4,27.0,27.5
南大東島,47945,気温,6月中旬,6,中旬,25.1,25.4,26.3,27.1,28.3,28.7
南大東島,47945,気温,6月下旬,6,下旬,26.4,27.0,28.0,28.4,29.3,29.7
南大東島,47945,気温,7月上旬,7,上旬,27.3,27.7,28.5,29.1,29.6,29.9
南大東島,47945,気温,7月中旬,7,中旬,27.0,28.2,28.4,28.8,29.4,29.7
南大東島,47945,気温,7月下旬,7,下旬,26.7,27.6,28.5,29.1,29.3,29.7
南大東島,47945,気温,8月上旬,8,上旬,26.3,27.3,28.3,29.0,29.5,30.5
南大東島,47945,気温,8月中旬,8,中旬,26.2,27.6,28.5,28.9,29.3,30.4
南大東島,47945,気温,8月下旬,8,下旬,26.9,27.6,28.1,28.8,29.4,29.9
南大東島,47945,気温,9月上旬,9,上旬,27.2,27.2,27.8,28.7,29.0,29.7
南大東島,47945,気温,9月中旬,9,中旬,26.1,26.9,27.7,28.4,29.0,29.3
南大東島,47945,気温,9月下旬,9,下旬,25.6,26.2,27.1,27.8,28.4,28.9
南大東島,47945,気温,10月上旬,10,上旬,24.8,25.2,26.4,27.2,27.9,28.5
南大東島,47945,気温,10月中旬,10,中旬,24.4,24.7,25.4,26.2,27.5,28.6
南大東島,47945,気温,10月下旬,10,下旬,23.3,23.8,24.2,25.4,26.2,26.8
南大東島,47945,気温,11月上旬,11,上旬,21.5,22.5,23.7,24.7,25.5,26.3
南大東島,47945,気温,11月中旬,11,中旬,20.9,21.3,22.6,23.3,24.4,25.0
南大東島,47945,気温,11月下旬,11,下旬,19.3,20.7,21.5,22.8,23.3,23.8
南大東島,47945,気温,12月上旬,12,上旬,18.7,18.8,20.2,21.5,22.3,23.1
